projeto_id;projeto e requisitos;equipe_id;dev1;dev2;dev3;dev4;rank_expert;nota_global;observações;team_match_summary;DOM_M;DOM_S;DOM_C;ECO_M;ECO_S;ECO_C;LING_M;LING_S;LING_C;MUST_OK;FALTAS_MUST;TOTAL_FALTAS_MUST;note_dev1;note_dev2;note_dev3;note_dev4;;;;;;;;
;;;Dev104;Dev363;Dev544;Dev81;0;;;DOM M(1/1)[mobile] S(0/1)[] C(0/1)[] | ECO M(2/2)[android, ios/ipados] S(0/1)[] C(0/1)[] | LING M(2/2)[kotlin, swift] S(1/2)[javascript] C(0/2)[];1/1;0/1;0/1;2/2;0/1;0/1;2/2;1/2;0/2;VERDADEIRO;OK;0;"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[android] S (0/1)[] C (0/1)[]
LING: M (1/2)[kotlin] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
104-81: P69(,osf=0.478,slf=0.301)
104-363: SEM_COMUM
104-544: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[ios/ipados] S (0/1)[] C (0/1)[]
LING: M (1/2)[swift] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
363-81: SEM_COMUM
363-104: SEM_COMUM
363-544: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (1/1)[mobile] S (0/1)[] C (0/1)[]
ECO: M (1/2)[ios/ipados] S (0/1)[] C (0/1)[]
LING: M (1/2)[swift] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
544-81: SEM_COMUM
544-104: SEM_COMUM
544-363: SEM_COMUM";"Domínio: IoT
Ecossistema: nan
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/2)[] S (0/1)[] C (0/1)[]
LING: M (0/2)[] S (1/2)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
81-104: P69(,osf=0.478,slf=0.301)
81-363: SEM_COMUM
81-544: SEM_COMUM";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P3;Plataforma IoT de Sensoriamento em Nuvem;P3-TEAM0;Dev423;Dev558;Dev494;Dev391;0;;;DOM M(1/2)[cloud] S(1/1)[web] C(0/1)[] | ECO M(1/1)[aws lambda] S(1/3)[react] C(1/1)[android] | LING M(1/2)[python] S(1/1)[javascript] C(0/2)[];1/2;1/1;0/1;1/1;1/3;1/1;1/2;1/1;0/2;FALSO;DOM faltam 1 | LING faltam 1;2;"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (1/3)[react] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
423-391: SEM_COMUM
423-494: SEM_COMUM
423-558: P85(,osf=0.784,slf=0.538)";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (1/1)[android]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
558-391: SEM_COMUM
558-423: SEM_COMUM
558-494: SEM_COMUM";"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (1/2)[cloud] S (0/1)[] C (0/1)[]
ECO: M (1/1)[aws lambda] S (0/3)[] C (0/1)[]
LING: M (1/2)[python] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
494-391: SEM_COMUM
494-423: SEM_COMUM
494-558: SEM_COMUM";"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (1/2)[cloud] S (0/1)[] C (0/1)[]
ECO: M (1/1)[aws lambda] S (0/3)[] C (0/1)[]
LING: M (1/2)[python] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
391-423: SEM_COMUM
391-494: SEM_COMUM
391-558: SEM_COMUM";;;;;;;;
;"DOM  M[IoT, Cloud] S[Web] C[Desktop]
ECO  M[AWS Lambda] S[React, Angular, MongoDB] C[Android]
LING M[Python, C++] S[JavaScript] C[Java, TypeScript]";;Dev104;Dev446;Dev152;Dev465;0;;;DOM M(0/2)[] S(1/1)[web] C(0/1)[] | ECO M(0/1)[] S(1/3)[react] C(1/1)[android] | LING M(0/2)[] S(1/1)[javascript] C(1/2)[java];0/2;1/1;0/1;0/1;1/3;1/1;0/2;1/1;1/2;FALSO;DOM faltam 2 | ECO faltam 1 | LING faltam 2;5;"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (1/1)[android]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
104-152: SEM_COMUM
104-446: SEM_COMUM
104-465: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (1/1)[android]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
446-104: SEM_COMUM
446-152: SEM_COMUM
446-465: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (1/3)[react] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
152-104: SEM_COMUM
152-446: SEM_COMUM
152-465: SEM_COMUM";"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (0/1)[] C (1/2)[java]

Colaboração (somente com membros desta equipe):
465-104: SEM_COMUM
465-152: SEM_COMUM
465-446: SEM_COMUM";;;;;;;;
;;;Dev362;Dev242;Dev450;Dev161;0;;;DOM M(0/2)[] S(1/1)[web] C(1/1)[desktop] | ECO M(0/1)[] S(1/3)[react] C(0/1)[] | LING M(0/2)[] S(1/1)[javascript] C(0/2)[];0/2;1/1;1/1;0/1;1/3;0/1;0/2;1/1;0/2;FALSO;DOM faltam 2 | ECO faltam 1 | LING faltam 2;5;"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (1/3)[react] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
362-161: SEM_COMUM
362-242: SEM_COMUM
362-450: SEM_COMUM";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
242-161: SEM_COMUM
242-362: SEM_COMUM
242-450: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[desktop]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
450-161: SEM_COMUM
450-242: SEM_COMUM
450-362: SEM_COMUM";"Domínio: nan
Ecossistema: nan
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
161-242: SEM_COMUM
161-362: SEM_COMUM
161-450: SEM_COMUM";;;;;;;;
;;;Dev362;Dev354;Dev495;Dev458;0;;;DOM M(0/2)[] S(1/1)[web] C(0/1)[] | ECO M(0/1)[] S(1/3)[react] C(0/1)[] | LING M(0/2)[] S(1/1)[javascript] C(1/2)[java];0/2;1/1;0/1;0/1;1/3;0/1;0/2;1/1;1/2;FALSO;DOM faltam 2 | ECO faltam 1 | LING faltam 2;5;"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (1/3)[react] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
362-354: SEM_COMUM
362-458: SEM_COMUM
362-495: SEM_COMUM";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
354-362: SEM_COMUM
354-458: SEM_COMUM
354-495: SEM_COMUM";"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (0/1)[] C (1/2)[java]

Colaboração (somente com membros desta equipe):
495-354: SEM_COMUM
495-362: SEM_COMUM
495-458: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
458-354: SEM_COMUM
458-362: SEM_COMUM
458-495: SEM_COMUM";;;;;;;;
;;;Dev439;Dev16;Dev209;Dev463;0;;;DOM M(0/2)[] S(1/1)[web] C(0/1)[] | ECO M(0/1)[] S(1/3)[react] C(0/1)[] | LING M(0/2)[] S(1/1)[javascript] C(0/2)[];0/2;1/1;0/1;0/1;1/3;0/1;0/2;1/1;0/2;FALSO;DOM faltam 2 | ECO faltam 1 | LING faltam 2;5;"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (1/3)[react] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
439-16: SEM_COMUM
439-209: SEM_COMUM
439-463: SEM_COMUM";"Domínio: nan
Ecossistema: iOS/iPadOS
Linguagens: nan

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (0/1)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
16-209: SEM_COMUM
16-439: SEM_COMUM
16-463: SEM_COMUM";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
209-16: SEM_COMUM
209-439: SEM_COMUM
209-463: SEM_COMUM";"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[web] C (0/1)[]
ECO: M (0/1)[] S (0/3)[] C (0/1)[]
LING: M (0/2)[] S (1/1)[javascript] C (0/2)[]

Colaboração (somente com membros desta equipe):
463-16: SEM_COMUM
463-209: SEM_COMUM
463-439: SEM_COMUM";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P4;SaaS Web de Relatórios Analíticos;P4-TEAM0;Dev263;Dev241;Dev303;Dev548;0;;;DOM M(1/1)[web] S(0/1)[] C(1/1)[desktop] | ECO M(0/1)[] S(0/2)[] C(0/1)[] | LING M(1/1)[javascript] S(0/2)[] C(1/2)[c#];1/1;0/1;1/1;0/1;0/2;0/1;1/1;0/2;1/2;FALSO;ECO faltam 1;1;"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
263-241: SEM_COMUM
263-303: SEM_COMUM
263-548: SEM_COMUM";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
241-263: SEM_COMUM
241-303: SEM_COMUM
241-548: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (1/1)[desktop]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (1/2)[c#]

Colaboração (somente com membros desta equipe):
303-241: SEM_COMUM
303-263: SEM_COMUM
303-548: SEM_COMUM";"Domínio: Mobile
Ecossistema: iOS/iPadOS
Linguagens: Swift

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
548-241: SEM_COMUM
548-263: SEM_COMUM
548-303: SEM_COMUM";;;;;;;;
;"DOM  M[Web] S[Cloud] C[Desktop]
ECO  M[MongoDB] S[Angular, React] C[AWS Lambda]
LING M[JavaScript] S[TypeScript, Python] C[Java, C#]";;Dev145;Dev38;Dev225;Dev263;0;;;DOM M(1/1)[web] S(0/1)[] C(0/1)[] | ECO M(0/1)[] S(1/2)[react] C(0/1)[] | LING M(1/1)[javascript] S(0/2)[] C(0/2)[];1/1;0/1;0/1;0/1;1/2;0/1;1/1;0/2;0/2;FALSO;ECO faltam 1;1;"Domínio: IoT, Web
Ecossistema: iOS/iPadOS
Linguagens: JSON, JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
145-38: SEM_COMUM
145-225: SEM_COMUM
145-263: P179(,osf=0.489,slf=0.711); P201(,osf=0.535,slf=0.596)";"Domínio: Web
Ecossistema: iOS/iPadOS
Linguagens: nan

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
38-145: SEM_COMUM
38-225: P82(,osf=0.567,slf=0.737)
38-263: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/2)[react] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
225-38: P82(,osf=0.567,slf=0.737)
225-145: SEM_COMUM
225-263: SEM_COMUM";"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
263-38: SEM_COMUM
263-145: SEM_COMUM
263-225: SEM_COMUM";;;;;;;;
;;;Dev193;Dev194;Dev7;Dev154;0;;;DOM M(1/1)[web] S(1/1)[cloud] C(0/1)[] | ECO M(0/1)[] S(1/2)[react] C(1/1)[aws lambda] | LING M(1/1)[javascript] S(1/2)[python] C(1/2)[java];1/1;1/1;0/1;0/1;1/2;1/1;1/1;1/2;1/2;FALSO;ECO faltam 1;1;"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (1/2)[java]

Colaboração (somente com membros desta equipe):
193-7: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 193-119: P82(,osf=0.567,slf=0.737) | 193-194: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 193-399: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
193-154: SEM_COMUM
193-194: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
194-7: P40(,osf=0.733,slf=0.373); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 194-193: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
194-154: SEM_COMUM
194-193: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/2)[react] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
7-154: SEM_COMUM
7-193: P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538) | 7-194: P40(,osf=0.733,slf=0.373); P82(,osf=0.567,slf=0.737); P85(,osf=0.784,slf=0.538)
7-194: SEM_COMUM";"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[cloud] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (1/1)[aws lambda]
LING: M (0/1)[] S (1/2)[python] C (0/2)[]

Colaboração (somente com membros desta equipe):
154-7: SEM_COMUM
154-193: SEM_COMUM
154-194: SEM_COMUM";;;;;;;;
;;;Dev438;Dev270;Dev104;Dev293;0;;;DOM M(1/1)[web] S(1/1)[cloud] C(0/1)[] | ECO M(0/1)[] S(1/2)[angular] C(1/1)[aws lambda] | LING M(0/1)[] S(2/2)[typescript, python] C(0/2)[];1/1;1/1;0/1;0/1;1/2;1/1;0/1;2/2;0/2;FALSO;ECO faltam 1 | LING faltam 1;2;"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (0/1)[] S (1/1)[cloud] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (1/1)[aws lambda]
LING: M (0/1)[] S (1/2)[python] C (0/2)[]

Colaboração (somente com membros desta equipe):
438-104: SEM_COMUM
438-270: P82(,osf=0.567,slf=0.737) | 438-293: P124(,osf=0.678,slf=0.507); P152(,osf=0.337,slf=0.880) | 438-558: P85(,osf=0.784,slf=0.538)
438-293: SEM_COMUM";"Domínio: Web
Ecossistema: Angular
Linguagens: TypeScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/2)[angular] C (0/1)[]
LING: M (0/1)[] S (1/2)[typescript] C (0/2)[]

Colaboração (somente com membros desta equipe):
270-104: SEM_COMUM
270-293: SEM_COMUM
270-438: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
104-270: SEM_COMUM
104-293: SEM_COMUM
104-438: SEM_COMUM";"Domínio: Web
Ecossistema: Angular
Linguagens: TypeScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (1/2)[angular] C (0/1)[]
LING: M (0/1)[] S (1/2)[typescript] C (0/2)[]

Colaboração (somente com membros desta equipe):
293-104: SEM_COMUM
293-270: SEM_COMUM
293-438: P124(,osf=0.678,slf=0.507); P152(,osf=0.337,slf=0.880)";;;;;;;;
;;;Dev198;Dev415;Dev62;Dev559;0;;;DOM M(1/1)[web] S(0/1)[] C(0/1)[] | ECO M(1/1)[mongodb] S(0/2)[] C(0/1)[] | LING M(1/1)[javascript] S(0/2)[] C(0/2)[];1/1;0/1;0/1;1/1;0/2;0/1;1/1;0/2;0/2;VERDADEIRO;OK;0;"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
198-62: SEM_COMUM
198-415: P82(,osf=0.567,slf=0.737)
198-559: SEM_COMUM";"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/1)[web] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (1/1)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
415-62: P85(,osf=0.784,slf=0.538) | 415-198: P82(,osf=0.567,slf=0.737)
415-198: SEM_COMUM
415-559: SEM_COMUM";"Domínio: nan
Ecossistema: MongoDB, iOS/iPadOS
Linguagens: nan

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (1/1)[mongodb] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
62-198: SEM_COMUM
62-415: P85(,osf=0.784,slf=0.538)
62-559: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/1)[] S (0/1)[] C (0/1)[]
ECO: M (0/1)[] S (0/2)[] C (0/1)[]
LING: M (0/1)[] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
559-62: SEM_COMUM
559-198: SEM_COMUM
559-415: SEM_COMUM";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P5;Plataforma Crítica Web+Cloud;P5-TEAM0;Dev174;Dev265;Dev524;Dev169;0;;;DOM M(1/2)[web] S(0/1)[] C(1/1)[desktop] | ECO M(1/3)[react] S(1/1)[.net] C(0/1)[] | LING M(1/3)[javascript] S(2/2)[c#, java] C(0/2)[];1/2;0/1;1/1;1/3;1/1;0/1;1/3;2/2;0/2;FALSO;DOM faltam 1 | ECO faltam 2 | LING faltam 2;5;"Domínio: Web
Ecossistema: Vue
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/3)[] S (0/1)[] C (0/1)[]
LING: M (1/3)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
174-169: SEM_COMUM
174-265: SEM_COMUM
174-524: SEM_COMUM";"Domínio: Web
Ecossistema: Spring Boot
Linguagens: Java

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/3)[] S (0/1)[] C (0/1)[]
LING: M (0/3)[] S (1/2)[java] C (0/2)[]

Colaboração (somente com membros desta equipe):
265-169: SEM_COMUM
265-174: SEM_COMUM
265-524: SEM_COMUM";"Domínio: Desktop
Ecossistema: .NET
Linguagens: C#

Match (requisitos do projeto):
DOM: M (0/2)[] S (0/1)[] C (1/1)[desktop]
ECO: M (0/3)[] S (1/1)[.net] C (0/1)[]
LING: M (0/3)[] S (1/2)[c#] C (0/2)[]

Colaboração (somente com membros desta equipe):
524-169: SEM_COMUM
524-174: SEM_COMUM
524-265: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (1/3)[react] S (0/1)[] C (0/1)[]
LING: M (1/3)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
169-174: SEM_COMUM
169-265: SEM_COMUM
169-524: SEM_COMUM";;;;;;;;
;"DOM  M[Web, Cloud] S[Mobile] C[Desktop]
ECO  M[React, AWS Lambda, MongoDB] S[.NET] C[Android]
LING M[JavaScript, TypeScript, Python] S[C#, Java] C[Kotlin, Swift]";;Dev438;Dev558;Dev461;Dev297;0;;;DOM M(2/2)[web, cloud] S(1/1)[mobile] C(0/1)[] | ECO M(2/3)[react, aws lambda] S(0/1)[] C(1/1)[android] | LING M(2/3)[javascript, python] S(0/2)[] C(1/2)[kotlin];2/2;1/1;0/1;2/3;0/1;1/1;2/3;0/2;1/2;FALSO;ECO faltam 1 | LING faltam 1;2;"Domínio: Cloud
Ecossistema: AWS Lambda
Linguagens: Python

Match (requisitos do projeto):
DOM: M (1/2)[cloud] S (0/1)[] C (0/1)[]
ECO: M (1/3)[aws lambda] S (0/1)[] C (0/1)[]
LING: M (1/3)[python] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
438-297: SEM_COMUM
438-461: SEM_COMUM
438-558: SEM_COMUM";"Domínio: Mobile
Ecossistema: Android
Linguagens: Kotlin

Match (requisitos do projeto):
DOM: M (0/2)[] S (1/1)[mobile] C (0/1)[]
ECO: M (0/3)[] S (0/1)[] C (1/1)[android]
LING: M (0/3)[] S (0/2)[] C (1/2)[kotlin]

Colaboração (somente com membros desta equipe):
558-297: SEM_COMUM
558-438: P85(,osf=0.784,slf=0.538) | 558-461: P183(,osf=0.476,slf=0.842); P184(,osf=0.615,slf=0.450); P188(,osf=0.655,slf=0.631); P219(,osf=0.351,slf=0.534); P269(,osf=0.400,slf=0.408); P274(,osf=0.411,slf=0.591)
558-461: SEM_COMUM";"Domínio: Web
Ecossistema: React
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (1/3)[react] S (0/1)[] C (0/1)[]
LING: M (1/3)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
461-297: SEM_COMUM
461-438: SEM_COMUM
461-558: P183(,osf=0.476,slf=0.842); P184(,osf=0.615,slf=0.450); P188(,osf=0.655,slf=0.631); P219(,osf=0.351,slf=0.534); P269(,osf=0.400,slf=0.408); P274(,osf=0.411,slf=0.591)";"Domínio: Web
Ecossistema: Node.js
Linguagens: JavaScript

Match (requisitos do projeto):
DOM: M (1/2)[web] S (0/1)[] C (0/1)[]
ECO: M (0/3)[] S (0/1)[] C (0/1)[]
LING: M (1/3)[javascript] S (0/2)[] C (0/2)[]

Colaboração (somente com membros desta equipe):
297-438: SEM_COMUM
297-461: SEM_COMUM
297-558: SEM_COMUM";;;;;;;;
